Time (CAT);Open;High;Low;Close;Volume 
2013-10-06 23:00:00;97,24;98,622;96,578;98,622;479552,13
2013-10-13 23:00:00;98,276;99,01;97,561;97,783;456442,39
2013-10-20 23:00:00;97,892;98,488;96,945;97,441;498235,4
2013-10-27 23:00:00;97,755;98,853;97,451;98,721;503913,05
2013-11-04 00:00:00;98,833;99,413;97,63;99,064;524305,15
2013-11-11 00:00:00;99,251;100,435;98,927;100,202;510196,61
2013-11-18 00:00:00;100,278;101,359;99,573;101,304;558792,14
2013-11-25 00:00:00;101,307;102,613;101,144;102,49;506805,52
2013-12-02 00:00:00;102,512;103,381;101,629;102,921;687610,33
2013-12-09 00:00:00;103,035;103,928;102,159;103,286;633093,31
2013-12-16 00:00:00;103,296;104,638;102,507;104,159;570730,65
2013-12-23 00:00:00;104,002;105,2;103,778;105,198;288651,15
2013-12-30 00:00:00;105,211;105,446;104,078;104,86;358125,75
2014-01-06 00:00:00;104,842;105,355;103,834;104,174;603495,86
2014-01-13 00:00:00;103,991;104,925;102,858;104,375;541218,32
2014-01-20 00:00:00;104,231;104,846;102,004;102,46;663234,42
2014-01-27 00:00:00;102,238;103,448;101,784;102,057;824824,48
2014-02-03 00:00:00;102,011;102,581;100,758;102,372;764120,61
2014-02-10 00:00:00;102,555;102,706;101,572;101,82;539516,44
2014-02-17 00:00:00;101,645;102,831;101,39;102,529;509277,32
2014-02-24 00:00:00;102,493;102,684;101,559;101,845;482609,21
2014-03-03 00:00:00;101,504;103,765;101,203;103,278;499732,96
2014-03-09 23:00:00;103,05;103,429;101,212;101,379;517851,14
2014-03-16 23:00:00;101,282;102,685;101,282;102,301;431228,4
2014-03-23 23:00:00;102,17;102,981;101,724;102,854;424866,36
2014-03-30 23:00:00;102,955;104,131;102,797;103,35;356836,53
2014-04-06 23:00:00;103,291;103,393;101,327;101,641;513834,54
2014-04-13 23:00:00;101,644;102,573;101,42;102,487;370554,5
2014-04-20 23:00:00;102,488;102,726;101,965;102,197;340314,16
2014-04-27 23:00:00;102,204;103,023;102,034;102,196;372729,01
2014-05-04 23:00:00;102,205;102,268;101,435;101,866;369266,74
2014-05-11 23:00:00;101,902;102,364;101,317;101,53;394860,95
2014-05-18 23:00:00;101,562;102,014;100,826;102;425093,28
2014-05-25 23:00:00;101,96;102,143;101,431;101,804;382777,58
2014-06-01 23:00:00;101,878;102,798;101,759;102,489;493910,94
2014-06-08 23:00:00;102,534;102,65;101,608;102,062;456974,82
2014-06-15 23:00:00;102,078;102,376;101,724;102,087;372187,41
2014-06-22 23:00:00;102,107;102,169;101,317;101,459;345867,36
2014-06-29 23:00:00;101,436;102,273;101,24;102,126;358268,1
2014-07-06 23:00:00;102,076;102,204;101,069;101,26;381798,07
2014-07-13 23:00:00;101,386;101,795;101,091;101,366;393783,94
2014-07-20 23:00:00;101,345;101,941;101,199;101,864;333833,07
2014-07-27 23:00:00;101,803;103,095;101,752;102,625;496145,33
2014-08-03 23:00:00;102,577;102,926;101,514;102,075;437155,86
2014-08-10 23:00:00;102,188;102,717;102,027;102,376;372048,23
2014-08-17 23:00:00;102,34;104,197;102,25;103,972;376993,22
2014-08-24 23:00:00;104,287;104,287;103,558;104,094;364968,34
2014-08-31 23:00:00;104,2;105,71;104,104;105,101;445794,64
2014-09-07 23:00:00;105,025;107,396;104,995;107,365;612478,45
2014-09-14 23:00:00;107,218;109,463;106,812;109,072;562246,63
2014-09-21 23:00:00;109,05;109,537;108,256;109,29;516721,58
2014-09-28 23:00:00;109,33;110,093;108,012;109,78;620287,01
2014-10-05 23:00:00;109,736;109,87;107,531;107,665;690747,62
2014-10-12 23:00:00;107,558;107,62;105,2;106,918;803875,12
2014-10-19 23:00:00;107,227;108,356;106,254;108,185;535627,07
2014-10-26 23:00:00;108,37;112,478;107,608;112,348;513050,23
2014-11-03 00:00:00;112,716;115,626;112,575;114,62;703587,04
2014-11-10 00:00:00;114,55;116,828;113,862;116,351;665211,82
2014-11-17 00:00:00;116,501;118,982;115,457;117,812;715870,29
2014-11-24 00:00:00;117,92;118,776;117,241;118,696;466704,97
