Time (CAT);Open;High;Low;Close;Volume 
2011-05-12 19:00:00;80,813;80,962;80,813;80,925;19507,97
2011-05-12 23:00:00;80,925;81,073;80,822;80,971;13506,16
2011-05-13 03:00:00;80,974;81,084;80,475;80,611;23950,11
2011-05-13 07:00:00;80,611;80,724;80,337;80,493;39021,16
2011-05-13 11:00:00;80,493;80,93;80,439;80,655;31719,39
2011-05-13 15:00:00;80,655;80,793;80,479;80,729;47309,37
2011-05-13 19:00:00;80,717;80,912;80,696;80,744;16767,49
2011-05-15 23:00:00;80,855;80,948;80,628;80,843;19395,92
2011-05-16 03:00:00;80,842;81,063;80,81;80,92;30564,37
2011-05-16 07:00:00;80,918;81,019;80,814;80,829;27134,84
2011-05-16 11:00:00;80,828;80,944;80,717;80,881;21946,1
2011-05-16 15:00:00;80,883;80,921;80,734;80,755;32008,83
2011-05-16 19:00:00;80,754;80,791;80,699;80,778;14804,01
2011-05-16 23:00:00;80,777;80,998;80,732;80,953;9024,35
2011-05-17 03:00:00;80,955;81,225;80,933;81,124;22046,86
2011-05-17 07:00:00;81,127;81,728;81,121;81,714;41777,03
2011-05-17 11:00:00;81,712;81,769;81,496;81,521;34501,83
2011-05-17 15:00:00;81,52;81,547;81,265;81,354;33143,46
2011-05-17 19:00:00;81,353;81,587;81,317;81,398;25356
2011-05-17 23:00:00;81,395;81,542;81,339;81,401;14118,77
2011-05-18 03:00:00;81,398;81,421;80,972;81,151;19599,54
2011-05-18 07:00:00;81,149;81,207;80,937;81,091;27168,85
2011-05-18 11:00:00;81,09;81,207;80,971;81,197;24389,31
2011-05-18 15:00:00;81,197;81,497;81,186;81,493;29074,85
2011-05-18 19:00:00;81,493;81,718;81,37;81,673;27258,58
2011-05-18 23:00:00;81,673;81,806;81,609;81,658;18361,24
2011-05-19 03:00:00;81,658;81,659;81,506;81,531;24891,32
2011-05-19 07:00:00;81,53;81,936;81,527;81,903;28968,36
2011-05-19 11:00:00;81,905;82,168;81,811;82,114;26535,56
2011-05-19 15:00:00;82,115;82,227;81,639;81,733;35930,47
2011-05-19 19:00:00;81,737;81,787;81,467;81,595;23197,34
2011-05-19 23:00:00;81,594;81,765;81,559;81,715;11267,29
2011-05-20 03:00:00;81,714;81,731;81,601;81,649;10961,71
2011-05-20 07:00:00;81,65;81,859;81,513;81,513;20877,21
2011-05-20 11:00:00;81,513;81,768;81,478;81,754;25389,18
2011-05-20 15:00:00;81,755;81,84;81,588;81,61;30227,72
2011-05-20 19:00:00;81,61;81,756;81,52;81,71;14370,25
2011-05-22 23:00:00;81,771;81,892;81,579;81,87;12198,61
2011-05-23 03:00:00;81,874;82,014;81,812;81,915;17130,52
2011-05-23 07:00:00;81,914;82,027;81,318;81,536;31176,74
2011-05-23 11:00:00;81,538;81,902;81,47;81,799;27804,71
2011-05-23 15:00:00;81,798;81,842;81,716;81,788;29052,75
2011-05-23 19:00:00;81,79;82,037;81,762;81,996;19119,91
2011-05-23 23:00:00;81,99;82,079;81,838;81,917;14171,34
2011-05-24 03:00:00;81,917;81,924;81,76;81,818;19442,92
2011-05-24 07:00:00;81,818;81,959;81,613;81,857;31033,31
2011-05-24 11:00:00;81,857;82,103;81,731;82,052;27421,83
2011-05-24 15:00:00;82,052;82,208;82,021;82,06;33671,84
2011-05-24 19:00:00;82,06;82,068;81,814;81,947;15402,89
2011-05-24 23:00:00;81,93;82,168;81,879;82,093;13089,21
2011-05-25 03:00:00;82,091;82,091;81,851;81,901;23303,5
2011-05-25 07:00:00;81,901;82,148;81,79;82,083;31195,86
2011-05-25 11:00:00;82,082;82,164;81,958;82,045;30365,25
2011-05-25 15:00:00;82,044;82,097;81,862;81,955;35893,02
2011-05-25 19:00:00;81,956;82,02;81,87;81,961;16959,65
2011-05-25 23:00:00;81,96;82,083;81,932;81,95;13962,56
2011-05-26 03:00:00;81,95;81,99;81,683;81,713;18665,29
2011-05-26 07:00:00;81,714;82,02;81,668;81,743;30028,09
2011-05-26 11:00:00;81,745;81,906;81,149;81,223;28723,74
2011-05-26 15:00:00;81,223;81,441;81,161;81,369;35505,07
2011-05-26 19:00:00;81,371;81,39;81,237;81,268;17004,85
2011-05-26 23:00:00;81,269;81,407;81,082;81,139;12298,7
2011-05-27 03:00:00;81,139;81,151;80,884;81,039;30288,51
2011-05-27 07:00:00;81,039;81,082;80,831;81,014;27492,98
2011-05-27 11:00:00;81,014;81,22;80,935;81,14;33878,48
2011-05-27 15:00:00;81,135;81,289;80,698;80,812;32143,74
2011-05-27 19:00:00;80,813;80,913;80,722;80,796;10902,4
2011-05-29 23:00:00;80,735;80,951;80,711;80,889;9419,61
