Time (CAT);Open;High;Low;Close;Volume 
2017-03-23 23:00:00;110,929;111,481;110,627;111,303;207335,12
2017-03-26 23:00:00;110,897;111,046;110,109;110,662;202839,06
2017-03-27 23:00:00;110,657;111,201;110,179;111,133;185001,46
2017-03-28 23:00:00;111,14;111,315;110,717;111,036;189152,48
2017-03-29 23:00:00;111,033;111,943;110,942;111,925;190830,89
2017-03-30 23:00:00;111,925;112,197;111,242;111,379;201576,09
2017-04-02 23:00:00;111,364;111,589;110,856;110,895;182755,15
2017-04-03 23:00:00;110,883;110,93;110,27;110,734;196374,98
2017-04-04 23:00:00;110,728;111,454;110,538;110,701;214589,2
2017-04-05 23:00:00;110,698;111,141;110,29;110,799;224083,67
2017-04-06 23:00:00;110,798;111,366;110,133;111,068;267453,37
2017-04-09 23:00:00;111,034;111,58;110,807;110,939;170187,64
2017-04-10 23:00:00;110,935;110,935;109,604;109,615;205351,74
2017-04-11 23:00:00;109,612;109,867;108,96;109,031;242740,25
2017-04-12 23:00:00;109,013;109,394;108,725;109,079;201447,65
2017-04-13 23:00:00;109,068;109,224;108,548;108,567;83072,66
2017-04-16 23:00:00;108,696;109,052;108,132;108,903;134708,95
2017-04-17 23:00:00;108,899;109,219;108,322;108,411;192297,79
2017-04-18 23:00:00;108,408;109,181;108,381;108,861;179595,52
2017-04-19 23:00:00;108,855;109,487;108,719;109,317;181442,06
2017-04-20 23:00:00;109,315;109,423;108,881;109,072;169605,46
2017-04-23 23:00:00;110,521;110,531;109,66;109,757;202899,14
2017-04-24 23:00:00;109,751;111,187;109,594;111,077;184993,9
2017-04-25 23:00:00;111,076;111,778;110,873;111,052;228960,62
2017-04-26 23:00:00;111,045;111,599;111,015;111,251;191899,47
2017-04-27 23:00:00;111,248;111,718;111,071;111,498;168348,64
2017-04-30 23:00:00;111,241;111,928;111,205;111,826;112579,22
2017-05-01 23:00:00;111,818;112,304;111,78;111,982;144241,21
2017-05-02 23:00:00;111,972;112,775;111,964;112,737;133523,21
2017-05-03 23:00:00;112,737;113,049;112,318;112,457;165775,25
2017-05-04 23:00:00;112,448;112,804;112,088;112,686;166735,72
2017-05-07 23:00:00;112,912;113,295;112,396;113,255;168142,41
2017-05-08 23:00:00;113,252;114,328;113,134;113,97;162038,95
2017-05-09 23:00:00;113,971;114,37;113,626;114,266;169832,43
2017-05-10 23:00:00;114,266;114,367;113,458;113,853;160859,83
2017-05-11 23:00:00;113,853;113,952;113,199;113,342;154277,25
2017-05-14 23:00:00;113,132;113,851;113,123;113,775;138562,84
2017-05-15 23:00:00;113,777;113,786;112,931;113,113;155860,15
2017-05-16 23:00:00;113,113;113,126;110,79;110,803;227316,08
2017-05-17 23:00:00;110,803;111,739;110,237;111,477;269666,78
2017-05-18 23:00:00;111,472;111,697;111,041;111,247;196388,21
2017-05-21 23:00:00;110,981;111,606;110,932;111,297;153946,38
2017-05-22 23:00:00;111,297;111,859;110,862;111,765;201379,58
2017-05-23 23:00:00;111,765;112,127;111,48;111,493;187022,19
2017-05-24 23:00:00;111,493;111,951;111,482;111,834;164101,61
2017-05-25 23:00:00;111,834;111,848;110,878;111,312;150308,73
2017-05-28 23:00:00;111,205;111,469;111,166;111,246;90116,92
2017-05-29 23:00:00;111,246;111,318;110,665;110,831;143098,92
2017-05-30 23:00:00;110,831;111,226;110,484;110,779;160281,2
2017-05-31 23:00:00;110,779;111,482;110,647;111,353;145282,27
2017-06-01 23:00:00;111,355;111,711;110,331;110,37;147598,25
2017-06-04 23:00:00;110,341;110,731;110,309;110,453;105471,4
2017-06-05 23:00:00;110,453;110,527;109,227;109,411;157422,93
2017-06-06 23:00:00;109,406;109,882;109,116;109,818;151422,03
2017-06-07 23:00:00;109,812;110,384;109,38;109,971;157154,65
2017-06-08 23:00:00;109,967;110,81;109,729;110,329;170106,39
2017-06-11 23:00:00;110,298;110,439;109,633;109,937;141242,94
2017-06-12 23:00:00;109,937;110,271;109,785;110,065;124386,82
2017-06-13 23:00:00;110,057;110,342;108,814;109,559;179620,01
2017-06-14 23:00:00;109,559;110,978;109,271;110,939;179032,25
2017-06-15 23:00:00;110,939;111,417;110,646;110,857;164187,5
