Time (CAT);Open;High;Low;Close;Volume 
2013-11-29 00:00:00;102,335;102,613;102,121;102,477;117271,5
2013-12-02 00:00:00;102,512;103,131;102,229;102,943;99596,3
2013-12-03 00:00:00;102,943;103,381;101,984;102,518;137825,91
2013-12-04 00:00:00;102,519;102,84;101,822;102,356;159810,21
2013-12-05 00:00:00;102,359;102,447;101,629;101,791;143637,4
2013-12-06 00:00:00;101,797;102,965;101,636;102,922;146739,74
2013-12-09 00:00:00;103,035;103,331;102,895;103,271;109896,27
2013-12-10 00:00:00;103,273;103,4;102,581;102,846;128280,89
2013-12-11 00:00:00;102,845;102,951;102,159;102,432;128404,32
2013-12-12 00:00:00;102,427;103,44;102,395;103,376;128593,56
2013-12-13 00:00:00;103,376;103,928;102,994;103,286;137918,28
2013-12-16 00:00:00;103,296;103,296;102,648;103,021;109049,36
2013-12-17 00:00:00;103,023;103,111;102,507;102,672;86067,15
2013-12-18 00:00:00;102,672;104,361;102,567;104,286;141772,81
2013-12-19 00:00:00;104,286;104,374;103,789;104,249;126156,45
2013-12-20 00:00:00;104,248;104,638;103,861;104,159;107684,88
2013-12-23 00:00:00;104,002;104,131;103,778;104,112;51979,79
2013-12-24 00:00:00;104,114;104,42;104,106;104,291;60121,98
2013-12-25 00:00:00;104,301;104,49;104,269;104,394;12811,1
2013-12-26 00:00:00;104,394;104,845;104,394;104,81;73525,66
2013-12-27 00:00:00;104,81;105,2;104,652;105,198;90211,87
2013-12-30 00:00:00;105,211;105,416;104,981;105,15;74244,51
2013-12-31 00:00:00;105,153;105,369;104,866;105,361;59809,36
2014-01-01 00:00:00;105,361;105,361;105,361;105,361;0
2014-01-02 00:00:00;105,269;105,446;104,551;104,808;115687,44
2014-01-03 00:00:00;104,809;104,897;104,078;104,86;108384,44
2014-01-06 00:00:00;104,842;104,954;103,917;104,226;125018,87
2014-01-07 00:00:00;104,228;104,736;104,18;104,611;118992,88
2014-01-08 00:00:00;104,614;105,13;104,594;104,871;132011,73
2014-01-09 00:00:00;104,871;105,064;104,58;104,82;107811,08
2014-01-10 00:00:00;104,82;105,355;103,834;104,174;119661,3
2014-01-13 00:00:00;103,991;104,139;102,858;103;122666,19
2014-01-14 00:00:00;103,001;104,287;102,999;104,219;120820,99
2014-01-15 00:00:00;104,219;104,698;104,097;104,561;105425,86
2014-01-16 00:00:00;104,561;104,925;104,154;104,355;105390,57
2014-01-17 00:00:00;104,353;104,48;104,202;104,359;86913,71
2014-01-20 00:00:00;104,231;104,326;103,866;104,182;76412,86
2014-01-21 00:00:00;104,181;104,75;104,028;104,308;106037,59
2014-01-22 00:00:00;104,308;104,581;103,975;104,521;113442,69
2014-01-23 00:00:00;104,523;104,846;102,975;103,267;171936,16
2014-01-24 00:00:00;103,274;103,588;102,004;102,46;195405,11
2014-01-27 00:00:00;102,238;102,931;101,784;102,556;204956,29
2014-01-28 00:00:00;102,557;103,255;102,49;102,945;132395,2
2014-01-29 00:00:00;102,945;103,448;101,845;102,291;187881,64
2014-01-30 00:00:00;102,292;102,894;102,088;102,731;143230,68
2014-01-31 00:00:00;102,728;102,939;101,958;102,057;156360,68
2014-02-03 00:00:00;102,011;102,414;100,782;100,979;178306,57
2014-02-04 00:00:00;100,981;101,679;100,758;101,648;177381,89
2014-02-05 00:00:00;101,649;101,769;100,804;101,465;156840,66
2014-02-06 00:00:00;101,457;102,176;101,245;102,11;119930,27
2014-02-07 00:00:00;102,115;102,581;101,449;102,372;131661,23
2014-02-10 00:00:00;102,555;102,648;101,996;102,265;96251,59
2014-02-11 00:00:00;102,265;102,706;102,079;102,643;98805,95
