Time (CAT);Open;High;Low;Close;Volume 
2011-09-18 23:00:00;76,917;76,976;76,1;76,54;437004,64
2011-09-25 23:00:00;76,476;77,19;76,22;77,051;472966,27
2011-10-02 23:00:00;77,094;77,257;76,511;76,698;462756,1
2011-10-09 23:00:00;76,777;77,481;76,31;77,204;385941,53
2011-10-16 23:00:00;77,055;77,447;75,773;76,27;386473,55
2011-10-23 23:00:00;76,187;76,48;75,658;75,807;367228,84
2011-10-30 23:00:00;75,632;79,526;75,573;78,228;502734,56
2011-11-07 00:00:00;78,179;78,183;77,05;77,16;359932,56
2011-11-14 00:00:00;77,248;77,489;76,572;76,83;404735,99
2011-11-21 00:00:00;76,854;77,787;76,76;77,72;339172,32
2011-11-28 00:00:00;77,57;78,282;77,29;77,965;359435,62
2011-12-05 00:00:00;78,016;78,105;77,127;77,598;356009,27
2011-12-12 00:00:00;77,681;78,155;77,543;77,72;369785,48
2011-12-19 00:00:00;77,757;78,223;77,684;78,05;330508,48
2011-12-26 00:00:00;78,038;78,123;76,85;76,887;300553,84
2012-01-02 00:00:00;76,93;77,334;76,6;76,959;346292,29
2012-01-09 00:00:00;76,9;77,041;76,66;76,9;368129,02
2012-01-16 00:00:00;77,056;77,319;76,549;77;377657,93
2012-01-23 00:00:00;76,947;78,281;76,61;76,67;417216,12
2012-01-30 00:00:00;76,645;76,774;76,022;76,591;433612,64
2012-02-06 00:00:00;76,591;77,805;76,493;77,55;382921,44
2012-02-13 00:00:00;77,558;79,62;77,362;79,54;404150,91
2012-02-20 00:00:00;79,578;81,21;79,36;80,97;390610,29
2012-02-27 00:00:00;81,254;81,868;80,013;81,78;534057,26
2012-03-05 00:00:00;81,764;82,639;80,58;82,42;494386,44
2012-03-11 23:00:00;82,487;84,178;81,967;83,43;466953,51
2012-03-18 23:00:00;83,376;84,093;81,972;82,33;512174,24
2012-03-25 23:00:00;82,401;83,385;81,83;82,84;536151,09
2012-04-01 23:00:00;83,021;83,302;81,305;81,62;494266,81
2012-04-08 23:00:00;81,492;81,862;80,568;80,91;498780,84
2012-04-15 23:00:00;80,844;81,777;80,293;81,495;483007,41
2012-04-22 23:00:00;81,507;81,692;80,17;80,24;502683,2
2012-04-29 23:00:00;80,256;80,61;79,64;79,83;371460,82
2012-05-06 23:00:00;79,821;80,076;79,428;79,91;467245,08
2012-05-13 23:00:00;79,969;80,551;78,95;79,007;642233
2012-05-20 23:00:00;79,126;80,145;79,083;79,671;645467,28
2012-05-27 23:00:00;79,703;79,712;77,66;77,95;657962,15
2012-06-03 23:00:00;78,073;79,79;77,95;79,475;697800,01
2012-06-10 23:00:00;79,609;79,742;78,607;78,69;626738,2
2012-06-17 23:00:00;78,792;80,566;78,791;80,407;524319,33
2012-06-24 23:00:00;80,405;80,619;79,13;79,783;487844,95
2012-07-01 23:00:00;79,854;80,092;79,31;79,649;414605,11
2012-07-08 23:00:00;79,605;79,944;79,07;79,25;387565,78
2012-07-15 23:00:00;79,272;79,282;78,427;78,48;355747,28
2012-07-22 23:00:00;78,432;78,675;77,935;78,45;392014,205
2012-07-29 23:00:00;78,446;78,773;77,905;78,45;367452,76
2012-08-05 23:00:00;78,59;78,789;78,142;78,266;351262,43
2012-08-12 23:00:00;78,201;79,573;78,162;79,5;328190,41
2012-08-19 23:00:00;79,545;79,657;78,283;78,65;360547,3037
2012-08-26 23:00:00;78,694;78,839;78,188;78,371;290924,85
2012-09-02 23:00:00;78,335;79,033;78,013;78,18;341242,92
2012-09-09 23:00:00;78,232;78,39;77,14;78,23;422112,56
2012-09-16 23:00:00;78,33;79,215;78,018;78,11;452331,46
2012-09-23 23:00:00;78,136;78,185;77,434;77,96;319909,44
2012-09-30 23:00:00;77,97;78,871;77,789;78,65;353659,77
2012-10-07 23:00:00;78,64;78,758;77,945;78,39;324511,81
2012-10-14 23:00:00;78,436;79,46;78,328;79,33;416582,18
2012-10-21 23:00:00;79,268;80,375;79,205;79,585;435937,01
2012-10-28 23:00:00;79,582;80,67;79,274;80,44;366001,6
2012-11-05 00:00:00;80,43;80,56;79,074;79,465;445973
2012-11-12 00:00:00;79,458;81,458;79,208;81,298;429125,79
2012-11-19 00:00:00;81,382;82,834;81,085;82,382;417803,02
2012-11-26 00:00:00;82,339;82,746;81,685;82,47;429074,04
2012-12-03 00:00:00;82,386;82,824;81,717;82,469;389454,56
2012-12-10 00:00:00;82,517;83,959;82,114;83,499;426941,16
2012-12-17 00:00:00;84,322;84,614;83,611;84,221;537357,5
2012-12-24 00:00:00;84,361;86,628;84,321;85,905;388572,38
2012-12-31 00:00:00;85,776;88,407;85,654;88,143;470813,5
2013-01-07 00:00:00;88,113;89,444;86,821;89,177;704161,92
2013-01-14 00:00:00;89,287;90,2;87,793;90,084;888296,99
2013-01-21 00:00:00;90,093;91,192;88,058;90,858;820338,74
2013-01-28 00:00:00;91,043;92,957;90,327;92,826;776343,43
2013-02-04 00:00:00;92,755;94,054;91,975;92,642;832957,2
2013-02-11 00:00:00;92,685;94,456;92,223;93,488;861934,82
2013-02-18 00:00:00;93,744;94,211;92,771;93,402;719883,94
2013-02-25 00:00:00;94,52;94,557;90,854;93,611;1003775
2013-03-04 00:00:00;93,556;96,557;92,914;95,99;739778,33
